pos,year,track_ID,artist_names,track_name,genres,danceability,energy,speechiness,acousticness,liveness,valence,tempo
742,2019,6Gg1gjgKi2AK4e0qzsR7sd,Juice WRLD,Bandit (with YoungBoy Never Broke Again),[hip hop],0.47,0.63,0.34,0.07,0.13,0.43,180.05
743,2019,09IStsImFySgyp0pIQdqAc,Zedd,The Middle,[Dance/Electronic],0.75,0.66,0.04,0.17,0.11,0.44,107.01
744,2019,2x0RZdkZcD8QRI53XT4GI5,Avicii,SOS (feat. Aloe Blacc),[Dance/Electronic],0.80,0.65,0.07,0.27,0.12,0.38,100.00
745,2019,2uIX8YMNjGMD7441kqyyNU,Billie Eilish,ocean eyes,[pop],0.48,0.37,0.04,0.82,0.08,0.16,144.83
746,2019,5jW3rF4URMdK7tO2xjS5EI,Paulo Londra,Tal Vez,[latin],0.86,0.65,0.15,0.25,0.08,0.74,161.99
747,2019,2rbDhOo9Fh61Bbu23T2qCk,Lady Gaga,Always Remember Us This Way,[pop],0.55,0.50,0.04,0.30,0.76,0.30,129.98
748,2019,4pUCKHjJ4Ijewc37rRrvHn,BLACKPINK,Kill This Love,[k-pop],0.74,0.86,0.24,0.32,0.33,0.58,131.97
749,2019,6Hj9jySrnFppAI0sEMCZpJ,Juice WRLD,Robbery,[hip hop],0.69,0.69,0.05,0.33,0.15,0.58,159.97
750,2019,27rdGxbavYJeBphck5MZAF,Mark Ronson,Nothing Breaks Like a Heart (feat. Miley Cyrus),[pop],0.60,0.79,0.07,0.01,0.39,0.24,114.07
751,2019,7LzouaWGFCy4tkXDOOnEyM,Camila Cabello,Liar,[pop],0.74,0.50,0.05,0.02,0.32,0.65,98.02
